Project_ID,Location,Geographic_Region,Budget_Cr,Tower_Count,Substations_Count,Steel_Demand_Tons,Conductor_Demand_Km,Insulator_Demand_Nos,Transformer_Demand_Units,Tower_Type,Substation_Type,Terrain_Difficulty,Tax_Rate,Start_Year,Completion_Year,Line_Length_CKM,Transformation_Capacity_MVA
PROJ-2201,Bihar,Northern Plains,1833.0,1727,1,51903.04292937043,4134,259050,3,D/C 765 kV,AIS,Medium,12,2020,2023,689,2823
PROJ-8551,Delhi,Northern Plains,2351.0,2777,2,97195.0,2916,66648,5,S/C 220 kV,AIS,Medium,18,2021,2024,972,4835
PROJ-5595,Rajasthan,Desert Plains,1283.0,846,2,25380.0,888,17604,1,S/C 220 kV,GIS,Medium,18,2018,2020,296,500
PROJ-7077,Delhi,Northern Plains,1445.0,1058,2,31740.0,2538,76176,1,D/C 400 kV,Hybrid,Low,12,2014,2018,423,1601
PROJ-5024,Gujarat,Desert Plains,1242.0,1540,2,46200.0,1386,36960,4,S/C 220 kV,AIS,High,12,2015,2017,462,3399
PROJ-3223,Gujarat,Desert Plains,1691.0,2147,1,62871.0,4284,161025,2,D/C 400 kV,AIS,High,12,2022,2025,714,3078
PROJ-3159,Gujarat,Desert Plains,2690.469480286639,3199,2,96142.34761497164,2403,70378,5,S/C 220 kV,GIS,High,18,2020,2023,801,4417
PROJ-2060,Bihar,Northern Plains,1171.0,762,2,26670.0,915,16459,1,S/C 220 kV,GIS,Low,12,2018,2022,305,500
PROJ-7653,Chhattisgarh,Hilly Forests,1583.0,1417,2,42510.0,2550,191295,3,D/C 765 kV,GIS,High,18,2022,2024,425,1303
PROJ-6780,Raipur,Hilly Forests,1606.0,1266,1,44310.0,1329,27346,4,S/C 220 kV,GIS,Medium,18,2017,2021,443,2633
PROJ-8729,Assam,Hilly Forests,1284.0,5753,2,172590.0,11514,414216,3,D/C 400 kV,Hybrid,Medium,12,2017,2019,1919,2792
PROJ-3403,Rajasthan,Desert Plains,2030.0,2030,1,81200.0,3654,310590,4,D/C 765 kV,Hybrid,High,18,2014,2016,609,2862
PROJ-6259,Chhattisgarh,Hilly Forests,2222.0,3146,3,99895.0,6282,229658,4,D/C 400 kV,AIS,High,18,2022,2024,1047,4827
PROJ-9207,Chhattisgarh,Hilly Forests,1081.0,767,2,23010.0,1860,115050,1,D/C 765 kV,Hybrid,Medium,12,2016,2020,310,500
PROJ-2753,Bihar,Northern Plains,1416.0,1359,1,40770.0,2724,104643,3,D/C 400 kV,Hybrid,Low,12,2020,2023,454,1457
PROJ-1946,Delhi,Northern Plains,1250.0,1381,2,39205.0,3294,205769,4,D/C 765 kV,AIS,Medium,12,2020,2023,549,3257
PROJ-2362,Bihar,Northern Plains,1320.0,5747,1,180497.0,11496,358751,2,D/C 400 kV,GIS,Low,12,2019,2021,1916,3288
PROJ-6536,Jabalpur,Hilly Forests,2151.0,1742,1,60970.0,2091,37627,2,S/C 220 kV,GIS,Low,18,2017,2021,697,3125
PROJ-4913,Karnataka,Coastal Plains,2327.0,3678,2,110340.0,2760,88272,4,S/C 220 kV,AIS,High,12,2011,2015,920,4174
PROJ-1587,Karnataka,Coastal Plains,914.0,806,2,24180.0,846,19344,1,S/C 220 kV,AIS,Medium,12,2020,2023,282,500
PROJ-9567,Delhi,Northern Plains,1257.0,1042,1,36470.0,1251,25508,2,S/C 220 kV,AIS,Low,18,2010,2012,417,1479
PROJ-4158,Jabalpur,Hilly Forests,1634.0,1492,1,52220.0,1791,32227,3,S/C 220 kV,GIS,Low,18,2017,2019,597,3130
PROJ-7583,Chhattisgarh,Hilly Forests,1831.0,1999,2,60077.69705605761,3990,153923,3,D/C 400 kV,AIS,Medium,18,2019,2022,665,2918
PROJ-5939,Gujarat,Desert Plains,2262.0,2202,3,66060.0,5286,158544,5,D/C 400 kV,AIS,Low,18,2016,2020,881,4750
PROJ-2267,Chhattisgarh,Hilly Forests,1124.0,858,2,24264.0,1716,55598,1,D/C 400 kV,GIS,High,12,2018,2021,286,500
PROJ-4740,Jabalpur,Hilly Forests,1231.0,1141,1,34230.0,2772,171150,1,D/C 765 kV,AIS,Medium,18,2019,2022,462,1556
PROJ-4636,Odisha,Coastal Plains,1515.0,1851,1,55530.0,1398,39982,3,S/C 220 kV,GIS,High,18,2014,2017,466,2673
PROJ-2917,Chhattisgarh,Hilly Forests,1223.0,5520,1,158166.0,11052,397440,2,D/C 400 kV,AIS,High,12,2012,2015,1842,3032
PROJ-9857,Odisha,Coastal Plains,1738.0,1478,1,44340.0,1773,36181,2,S/C 220 kV,AIS,Low,12,2010,2014,591,2614
PROJ-3137,Gujarat,Desert Plains,2294.0,1946,2,59610.0,4656,291900,4,D/C 765 kV,AIS,Medium,18,2012,2015,776,4536
PROJ-5241,Assam,Hilly Forests,1197.0,678,2,23730.0,813,14645,2,S/C 220 kV,GIS,Low,12,2012,2016,271,500
PROJ-7097,Rajasthan,Desert Plains,1354.0,1235,2,37050.0,2472,93860,3,D/C 400 kV,Hybrid,High,12,2010,2012,412,1596
PROJ-7316,Bihar,Northern Plains,1674.0,1780,2,71200.0,3204,231489,2,D/C 765 kV,GIS,High,12,2019,2022,534,2848
PROJ-2501,Karnataka,Coastal Plains,1455.0,6260,1,219100.0,5634,153245,3,S/C 220 kV,Hybrid,High,12,2012,2014,1878,3177
PROJ-7376,Delhi,Northern Plains,2171.0,2420,1,96800.0,4356,363000,3,D/C 765 kV,Hybrid,High,18,2013,2017,726,2717
PROJ-1650,Karnataka,Coastal Plains,2326.0,2771,2,83130.0,2910,67834,4,S/C 220 kV,AIS,Medium,18,2020,2023,970,4118
PROJ-7710,Raipur,Hilly Forests,981.0,933,2,27990.0,840,22392,1,S/C 220 kV,AIS,High,18,2019,2022,280,500
PROJ-7928,Jabalpur,Hilly Forests,1237.0,1348,1,43151.0,2700,97056,2,D/C 400 kV,AIS,High,12,2015,2019,450,1276
PROJ-2123,Gujarat,Desert Plains,1488.0,1402,2,42135.53340299789,2814,100944,3,D/C 400 kV,Hybrid,Medium,12,2013,2016,469,3524
PROJ-9599,Gujarat,Desert Plains,1131.0,5750,2,172500.0,11490,431250,2,D/C 400 kV,AIS,High,18,2018,2020,1915,2699
PROJ-8611,Karnataka,Coastal Plains,1758.0,1362,2,40933.37838436742,3252,193404,4,D/C 765 kV,AIS,Medium,18,2010,2013,542,2808
PROJ-5702,Chhattisgarh,Hilly Forests,2144.0,2952,2,81331.0,5910,227304,4,D/C 400 kV,AIS,Medium,12,2011,2015,985,4364
PROJ-1021,Chhattisgarh,Hilly Forests,1163.0,1369,2,41143.755512627744,1029,31487,2,S/C 220 kV,GIS,High,18,2022,2024,343,500
PROJ-4422,Bihar,Northern Plains,1510.0,1248,2,43680.0,1497,25968,1,S/C 220 kV,GIS,Low,18,2016,2019,499,1612
PROJ-1876,Gujarat,Desert Plains,1455.0,1271,1,38130.0,3030,188108,3,D/C 765 kV,Hybrid,Medium,12,2012,2015,505,2854
PROJ-4254,Raipur,Hilly Forests,1155.0,4665,1,139950.0,11190,699750,2,D/C 765 kV,Hybrid,Medium,12,2010,2014,1865,3025
PROJ-6881,Jabalpur,Hilly Forests,2050.0,2135,1,64050.0,4284,153720,2,D/C 400 kV,Hybrid,High,18,2012,2016,714,2981
PROJ-6050,Chhattisgarh,Hilly Forests,2492.0,2838,2,85292.89857183167,5688,204336,4,D/C 400 kV,Hybrid,High,12,2021,2023,948,4356
PROJ-6437,Chhattisgarh,Hilly Forests,1080.0,957,2,38280.0,1722,129195,1,D/C 765 kV,GIS,High,18,2010,2014,287,500
PROJ-7605,Chhattisgarh,Hilly Forests,1210.0,1124,1,33720.0,2706,151740,2,D/C 765 kV,AIS,Low,12,2018,2021,451,1641
PROJ-3510,Bihar,Northern Plains,1419.0,1474,1,51590.0,1548,35376,3,S/C 220 kV,Hybrid,Medium,12,2022,2024,516,2870
PROJ-9920,Karnataka,Coastal Plains,1751.0,1545,1,46350.0,1854,37822,4,S/C 220 kV,AIS,Low,18,2015,2019,618,3131
PROJ-1964,Chhattisgarh,Hilly Forests,2690.469480286639,3053,2,122120.0,5496,397043,4,D/C 765 kV,GIS,High,12,2012,2015,916,4670
PROJ-1980,Gujarat,Desert Plains,1021.0,947,2,28461.020066076315,1896,68184,1,D/C 400 kV,Hybrid,Medium,18,2016,2018,316,500
PROJ-2393,Rajasthan,Desert Plains,1555.0,1526,2,45862.21396075233,3042,98885,1,D/C 400 kV,GIS,Medium,12,2012,2016,507,1288
PROJ-5359,Raipur,Hilly Forests,1506.0,1134,1,34020.0,1191,24494,2,S/C 220 kV,GIS,Medium,12,2010,2012,397,2788
PROJ-1413,Raipur,Hilly Forests,1895.0,1778,1,53340.0,2133,42672,4,S/C 220 kV,AIS,Low,18,2011,2015,711,3029
