Project_ID,Location,Geographic_Region,Budget_Cr,Tower_Count,Substations_Count,Steel_Demand_Tons,Conductor_Demand_Km,Insulator_Demand_Nos,Transformer_Demand_Units,Tower_Type,Substation_Type,Terrain_Difficulty,Tax_Rate,Start_Year,Completion_Year,Line_Length_CKM,Transformation_Capacity_MVA,Voltage,Circuit,Transformer_Bin
PROJ-2201,Varanasi Cantt,Northern Plains,2618,1727,1,72534,4134,357489,3,D/C 765 kV,AIS,Low,12,2020,2023,689,2050.3043695984916,765,D/C,2+
PROJ-8551,Sikar-II,Desert Plains,2351,2777,2,83976,2916,143710,2,S/C 220 kV,AIS,Medium,18,2021,2024,972,262.4074561769746,220,S/C,2+
PROJ-5595,BarmerGIS,Desert Plains,704,846,2,27241,888,32835,0,S/C 220 kV,GIS,High,18,2018,2020,296,111.6167224336399,220,S/C,0
PROJ-7077,Bhadla,Desert Plains,1251,1058,2,38934,2538,175205,4,D/C 400 kV,Hybrid,High,12,2014,2018,423,1993.4718155010355,400,D/C,2+
PROJ-5024,Beawar,Desert Plains,1043,1540,2,46570,1386,79695,1,S/C 220 kV,AIS,Medium,12,2015,2017,462,104.11689885916049,220,S/C,1
PROJ-3223,Barmer,Desert Plains,2037,2147,1,79010,4284,355543,5,D/C 400 kV,AIS,High,12,2022,2025,714,3048.6119698759876,400,D/C,2+
PROJ-3159,Fatehgarh,Desert Plains,2690,3199,2,103008,2403,124161,2,S/C 220 kV,GIS,High,18,2020,2023,801,273.3618039413735,220,S/C,2+
PROJ-2060,BikanerGIS,Desert Plains,615,762,2,24536,915,29575,1,S/C 220 kV,GIS,High,12,2018,2022,305,204.9512863264476,220,S/C,1
PROJ-7653,RewaExt,Central Plains,1742,1417,2,64275,2550,219989,3,D/C 765 kV,GIS,Medium,18,2022,2024,425,2373.687420594126,765,D/C,2+
PROJ-6780,Keonjhar,Hilly Forests,1176,1266,1,40765,1329,49137,1,S/C 220 kV,GIS,High,18,2017,2021,443,127.89877213040836,220,S/C,1
PROJ-8729,Fatehgarh,Desert Plains,4728,5753,2,211710,11514,952697,4,D/C 400 kV,Hybrid,High,12,2017,2019,1919,1507.2581693680015,400,D/C,2+
PROJ-3403,GadagExt,Central Plains,2156,2030,1,92081,3654,420210,3,D/C 765 kV,Hybrid,Medium,18,2014,2016,609,2099.021346475079,765,D/C,2+
PROJ-6259,Bhadla,Desert Plains,3146,3146,3,115773,6282,520978,5,D/C 400 kV,AIS,High,18,2022,2024,1047,2270.1587738591666,400,D/C,2+
PROJ-9207,Kurnool,Coastal Plains,1081,767,2,34791,1860,174646,4,D/C 765 kV,Hybrid,Medium,12,2016,2020,310,4721.2301543511185,765,D/C,2+
PROJ-2753,Tuticorin-III,Coastal Plains,1428,1359,1,50011,2724,247555,2,D/C 400 kV,Hybrid,High,12,2020,2023,454,608.7548743655119,400,D/C,2+
PROJ-1946,Beawar,Desert Plains,2109,1381,2,62642,3294,285867,5,D/C 765 kV,AIS,Medium,12,2020,2023,549,6541.986740582306,765,D/C,2+
PROJ-2362,Jaisalmer,Desert Plains,4721,5747,1,211490,11496,713777,3,D/C 400 kV,GIS,High,12,2019,2021,1916,1128.5848873659274,400,D/C,2+
PROJ-6536,Kurnool-IV,Coastal Plains,1480,1742,1,52678,2091,74373,2,S/C 220 kV,GIS,Medium,18,2017,2021,697,248.81529393791152,220,S/C,2+
PROJ-4913,Kanpur,Northern Plains,1855,3678,2,102984,2760,190336,2,S/C 220 kV,AIS,Low,12,2011,2015,920,269.3458614031088,220,S/C,2+
PROJ-1587,Firozabad,Northern Plains,726,806,2,22568,846,41710,1,S/C 220 kV,AIS,Low,12,2020,2023,282,136.44721755761248,220,S/C,1
PROJ-9567,AngulExt,Hilly Forests,992,1042,1,31510,1251,53923,1,S/C 220 kV,AIS,Medium,18,2010,2012,417,185.03117489824893,220,S/C,1
PROJ-4158,Raigarh,Hilly Forests,1522,1492,1,48042,1791,57908,2,S/C 220 kV,GIS,High,18,2017,2019,597,273.9417822102108,220,S/C,2+
PROJ-7583,Sikar,Desert Plains,1831,1999,2,69085,3990,331034,5,D/C 400 kV,AIS,Medium,18,2019,2022,665,2242.0943200601137,400,D/C,2+
PROJ-5939,SonipatExt,Northern Plains,2262,2202,3,70464,5286,364651,4,D/C 400 kV,AIS,Low,18,2016,2020,881,1989.2279720306324,400,D/C,2+
PROJ-2267,Raichur,Central Plains,947,858,2,29652,1716,106564,4,D/C 400 kV,GIS,Medium,12,2018,2021,286,1316.8101027085338,400,D/C,2+
PROJ-4740,Nagbhid,Central Plains,1465,1141,1,51756,2772,236187,2,D/C 765 kV,AIS,Medium,18,2019,2022,462,1090.454577821076,765,D/C,2+
PROJ-4636,Pune,Central Plains,1109,1851,1,55974,1398,71842,1,S/C 220 kV,GIS,Medium,18,2014,2017,466,177.7354579378964,220,S/C,1
PROJ-2917,Gadag,Coastal Plains,4539,5520,1,190771,11052,1005523,3,D/C 400 kV,AIS,Medium,12,2012,2015,1842,1480.8836540072098,400,D/C,2+
PROJ-9857,Jaisalmer,Desert Plains,1191,1478,1,47592,1773,76486,4,S/C 220 kV,AIS,High,12,2010,2014,591,834.1568665265988,220,S/C,2+
PROJ-3137,Sikar,Desert Plains,2461,1946,2,88271,4656,402822,2,D/C 765 kV,AIS,Medium,18,2012,2015,776,1330.533878126005,765,D/C,2+
PROJ-5241,Tuticorin,Coastal Plains,546,678,2,21832,813,28946,0,S/C 220 kV,GIS,High,12,2012,2016,271,184.6802961412739,220,S/C,0
PROJ-7097,Firozabad,Northern Plains,1218,1235,2,39520,2472,204516,2,D/C 400 kV,Hybrid,Low,12,2010,2012,412,793.7021953139051,400,D/C,2+
PROJ-7316,RaigarhRE Park,Hilly Forests,2153,1780,2,85974,3204,276345,2,D/C 765 kV,GIS,High,12,2019,2022,534,2413.7146876952343,765,D/C,2+
PROJ-2501,Bikaner,Desert Plains,3155,6260,1,201572,5634,323955,2,S/C 220 kV,Hybrid,High,12,2012,2014,1878,442.38398991240456,220,S/C,2+
PROJ-7376,Firozabad,Northern Plains,2570,2420,1,101640,4356,500940,5,D/C 765 kV,Hybrid,Low,18,2013,2017,726,3079.3452976256485,765,D/C,2+
PROJ-1650,DausaRE Park,Desert Plains,2326,2771,2,83795,2910,143399,4,S/C 220 kV,AIS,Medium,18,2020,2023,970,759.5605393105627,220,S/C,2+
PROJ-7710,Fatuha,Northern Plains,595,933,2,26124,840,48283,0,S/C 220 kV,AIS,Low,18,2019,2022,280,174.16365043965328,220,S/C,0
PROJ-7928,Barmer,Desert Plains,1237,1348,1,49606,2700,223229,3,D/C 400 kV,AIS,High,12,2015,2019,450,1559.2631330513218,400,D/C,2+
PROJ-2123,Angul,Hilly Forests,1733,1402,2,51594,2814,232171,3,D/C 400 kV,Hybrid,High,12,2013,2016,469,1171.9745750601635,400,D/C,2+
PROJ-9599,KudankulamGIS,Coastal Plains,4971,5750,2,198720,11490,1047420,4,D/C 400 kV,AIS,Medium,18,2018,2020,1915,1357.8644046385582,400,D/C,2+
PROJ-8611,KanpurRE Park,Northern Plains,1758,1362,2,57204,3252,281934,5,D/C 765 kV,AIS,Low,18,2010,2013,542,6108.647605824366,765,D/C,2+
PROJ-5702,Mandsaur,Central Plains,2175,2952,2,102021,5910,488851,4,D/C 400 kV,AIS,Medium,12,2011,2015,985,1851.8101872009956,400,D/C,2+
PROJ-1021,Bakhtiyarpur-II,Northern Plains,843,1369,2,38332,1029,53134,1,S/C 220 kV,GIS,Low,18,2022,2024,343,185.5082036717099,220,S/C,1
PROJ-4422,IndoreGIS,Central Plains,1060,1248,2,37740,1497,48438,0,S/C 220 kV,GIS,Medium,18,2016,2019,499,121.57828539866088,220,S/C,0
PROJ-1876,Angul,Hilly Forests,1824,1271,1,61389,3030,263097,2,D/C 765 kV,Hybrid,High,12,2012,2015,505,1950.7404463642235,765,D/C,2+
PROJ-4254,Angul,Hilly Forests,6738,4665,1,225319,11190,965655,5,D/C 765 kV,Hybrid,High,12,2010,2014,1865,7037.832369630465,765,D/C,2+
PROJ-6881,Bhadla-II,Desert Plains,2050,2135,1,73786,4284,353556,3,D/C 400 kV,Hybrid,Medium,18,2012,2016,714,1434.4426803886563,400,D/C,2+
PROJ-6050,Raichur,Central Plains,2839,2838,2,98081,5688,469973,3,D/C 400 kV,Hybrid,Medium,12,2021,2023,948,976.210110730505,400,D/C,2+
PROJ-6437,Gurgaon,Northern Plains,1080,957,2,40194,1722,148574,2,D/C 765 kV,GIS,Low,18,2010,2014,287,1322.4425745080089,765,D/C,2+
PROJ-7605,Kishenpur,Hilly Forests,1515,1124,1,54289,2706,232668,5,D/C 765 kV,AIS,High,12,2018,2021,451,6540.6018978220845,765,D/C,2+
PROJ-3510,Kishenpur,Hilly Forests,1505,1474,1,47463,1548,76280,3,S/C 220 kV,Hybrid,High,12,2022,2024,516,573.9207422897462,220,S/C,2+
PROJ-9920,MainpuriRE Park,Northern Plains,1313,1545,1,43260,1854,79954,2,S/C 220 kV,AIS,Low,18,2015,2019,618,557.0235993959911,220,S/C,2+
PROJ-1964,BeawarGIS,Desert Plains,3078,3053,2,138484,5496,473978,5,D/C 765 kV,GIS,Medium,12,2012,2015,916,3110.4397735033667,765,D/C,2+
PROJ-1980,Kudankulam,Coastal Plains,1021,947,2,34850,1896,172506,2,D/C 400 kV,Hybrid,High,18,2016,2018,316,1198.5067714201978,400,D/C,2+
PROJ-2393,GopalpurRE Park,Coastal Plains,1555,1526,2,52739,3042,208482,3,D/C 400 kV,GIS,Medium,12,2012,2016,507,1322.8367107399938,400,D/C,2+
PROJ-5359,Jind,Northern Plains,800,1134,1,31752,1191,44013,2,S/C 220 kV,GIS,Low,12,2010,2012,397,544.2922333025374,220,S/C,2+
PROJ-1413,FatehgarhGIS,Desert Plains,1510,1778,1,53767,2133,92012,2,S/C 220 kV,AIS,Medium,18,2011,2015,711,413.6357677501768,220,S/C,2+
PROJ-6601,Jind,Northern Plains,1921,2382,2,66696,2859,123268,2,S/C 220 kV,AIS,Low,12,2010,2013,953,247.94614693347313,220,S/C,2+
PROJ-5110,Angul,Hilly Forests,721,745,2,23989,894,28915,1,S/C 220 kV,GIS,High,12,2013,2015,298,288.5819407825038,220,S/C,1
PROJ-5815,Sonipat,Northern Plains,818,1015,2,28420,1218,52526,1,S/C 220 kV,Hybrid,Low,12,2012,2015,406,203.75812434867322,220,S/C,1
PROJ-5899,Pakaldul,Hilly Forests,1592,1278,2,47030,2556,158728,3,D/C 400 kV,GIS,High,18,2019,2021,426,1259.993306355501,400,D/C,2+
PROJ-9060,Varanasi,Northern Plains,3786,7410,1,207480,5562,383467,4,S/C 220 kV,AIS,Low,12,2021,2025,1854,597.500850270881,220,S/C,2+
PROJ-3259,Ananthapuram-II,Coastal Plains,2121,1533,2,69537,3684,349064,4,D/C 765 kV,Hybrid,Medium,12,2015,2018,614,3203.5132392670785,765,D/C,2+
PROJ-9766,BeawarExt,Desert Plains,2153,2704,2,93450,5400,447782,3,D/C 400 kV,AIS,Medium,18,2012,2015,900,1164.1132041325322,400,D/C,2+
PROJ-8329,Pakaldul,Hilly Forests,1196,1135,2,41768,2274,187956,4,D/C 400 kV,AIS,High,18,2021,2024,379,1742.5688575800652,400,D/C,2+
PROJ-8929,Fatuha,Northern Plains,921,1306,2,36568,1371,50689,0,S/C 220 kV,GIS,Low,12,2016,2020,457,169.0142496053366,220,S/C,0
PROJ-7977,UmredExt,Central Plains,1469,1215,1,55112,2928,251505,3,D/C 765 kV,AIS,Medium,12,2013,2017,488,3542.1163546643,765,D/C,2+
